Artist,Album,ReleaseYear,numSongsOnAlb,avgAcousticness,maxAcousticnessTrack,avgDanceability,maxDanceabilityTrack,avgEnergy,rangeEnergy,avgInstrumentalness,maxInstrumentalnessTrack,avgLiveness,maxLivenessTrack,avgLoudness,rangeLoudness,avgSpeechiness,maxSpeechinessTrack,avgValence,rangeValence,totalDurationSeconds,avgTempo,rangeTempo,moreCommonMajMin,presenceUncommonTS,totalExplicit,proportionExplicit,popularGenres,Followers,Genres,NumAlbums,YearFirstAlbum,Gender,Group.Solo,RiaaStatus,Label,numGrammys,GrammyYear
10 Years,Division,2008,14,0.12162519285714286,0.805,0.39714285714285713,0.598,0.7335714285714285,0.49500000000000005,0.011918720714285715,0.0618,0.2544,0.782,-5.0484285714285715,7.954000000000001,0.041378571428571424,0.0778,0.2940357142857143,0.5375,3423.078,141.07692857142857,82.79299999999999,0,0,0,0,"pop,rock,rap",347803,"alternative metal,christian rock,nu metal,post-grunge,rap rock",8,2005,M,Group,NA,NA,0,NA
10 Years,From Birth to Burial,2015,11,0.09369240818181818,0.95,0.38863636363636367,0.517,0.8373636363636363,0.583,0.5047818181818182,0.895,0.12151818181818182,0.217,-6.896727272727273,4.497000000000001,0.07556363636363636,0.159,0.2969090909090909,0.41900000000000004,2414.986,139.35827272727272,90.024,1,0,0,0,"pop,rap,country",347803,"alternative metal,christian rock,nu metal,post-grunge,rap rock",8,2005,M,Group,NA,NA,0,NA
10 Years,The Autumn Effect,2005,14,0.047223214285714285,0.627,0.3340714285714286,0.53,0.7768571428571429,0.43200000000000005,0.004660246428571428,0.0603,0.16454285714285716,0.665,-5.295928571428571,4.004999999999999,0.059207142857142854,0.0882,0.34815714285714283,0.5428,3125.386,136.80664285714286,70.732,0,0,0,0,"rock,rap,pop",347803,"alternative metal,christian rock,nu metal,post-grunge,rap rock",8,2005,M,Group,NA,NA,0,NA
112,Hot & Wet,2003,18,0.20079055555555556,0.593,0.6763333333333333,0.879,0.6025555555555555,0.301,1.0138333333333332e-4,0.00145,0.19180555555555556,0.535,-7.122166666666667,5.521,0.09773333333333334,0.472,0.5429444444444445,0.5960000000000001,4332.278,105.95655555555555,116.46199999999999,1,0,1,0.05555555555555555,"rock,pop,rap",590341,"atl hip hop,boy band,dance pop,gangster rap,hip hop,hip pop,new jack swing,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",6,1996,M,Group,NA,NA,0,NA
112,Pleasure & Pain,2005,18,0.20035944444444445,0.735,0.6537222222222222,0.914,0.5001111111111111,0.525,4.055555555555556e-6,3.93e-5,0.1690111111111111,0.462,-9.177055555555556,8.026,0.1205611111111111,0.427,0.6168888888888889,0.742,4000.547,110.71733333333333,102.984,0,0,18,1,"rock,rap,pop",590341,"atl hip hop,boy band,dance pop,gangster rap,hip hop,hip pop,new jack swing,pop,pop rap,r&b,rap,southern hip hop,urban contemporary",6,1996,M,Group,NA,NA,0,NA
2 Chainz,Codeine Cowboy,2011,15,0.10249693333333333,0.42,0.7126666666666667,0.853,0.6488666666666667,0.442,6.999999999999999e-8,1.05e-6,0.28340666666666664,0.875,-7.676466666666667,9.113,0.24214,0.426,0.5358,0.826,3689.628,131.39073333333334,77.58000000000001,1,0,15,1,"pop,rock,rap",4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,NA,NA,0,NA
2 Chainz,Codeine Withdrawal,2010,18,0.23594777777777778,0.872,0.6822777777777778,0.863,0.5976111111111111,0.803,0,0,0.4546611111111111,0.842,-9.802888888888889,19.212000000000003,0.41105,0.934,0.5475,0.6000000000000001,3706.451,104.84994444444445,83.707,1,0,18,1,"pop,rap,rock",4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,NA,NA,0,NA
2 Chainz,Daniel Son; Necklace Don,2016,9,0.24193,0.638,0.834,0.929,0.5746666666666667,0.45999999999999996,0.027981855555555556,0.251,0.30193333333333333,0.653,-7.759,21.018,0.25124444444444444,0.456,0.36015555555555556,0.6906,1701.043,125.78266666666667,53.69500000000001,0,0,9,1,"pop,rap,r&;b",4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,NA,NA,0,NA
2 Chainz,Different World,2013,16,0.1039789375,0.733,0.7069375,0.828,0.68075,0.52,2.57125e-5,3.8e-4,0.2299375,0.621,-6.00225,11.653,0.22978125,0.568,0.4958125,0.62,3644.987,129.9493125,110.23299999999999,1,1,0,0,"pop,rock,country",4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,NA,NA,0,NA
2 Chainz,Dope Peddler 2,2013,11,0.056732727272727275,0.255,0.5942727272727273,0.791,0.7989090909090909,0.3610000000000001,1.2773636363636363e-4,0.0014,0.2929909090909091,0.654,-5.3408181818181815,2.868,0.1661,0.361,0.6283636363636363,0.63,2368.138,136.38827272727272,75.729,0,1,0,0,"pop,rock,country",4943181,"atl hip hop,gangster rap,hip hop,pop,pop rap,rap,southern hip hop,trap music",17,2010,M,Solo,NA,NA,0,NA
